"study_ID","measured_response_variable","measured_response_comments","reported_units"
"906_aa","Biomass ratio of C. stans - green","proportion of total biomass of an individual (clone fragment): belowground, green tissue, attached dead tissue","proportion"
"906_ab","Biomass ratio of C. membranacea - belowground","proportion of total biomass of an individual (clone fragment): belowground, green tissue, attached dead tissue","proportion"
"906_ac","Biomass ratio of C. membranacea - attached dead","proportion of total biomass of an individual (clone fragment): belowground, green tissue, attached dead tissue","proportion"
"906_ad","Biomass ratio of C. membranacea - green","proportion of total biomass of an individual (clone fragment): belowground, green tissue, attached dead tissue","proportion"
"924_a","Cladina stellaris Biomass",NA,"g dry weight m-2"
"924_b","Cladina stellaris Biomass",NA,"g dry weight m-2"
"924_c","Cladina rangifera Biomass",NA,"g dry weight m-2"
"924_d","Cladina mitis Biomass",NA,"g dry weight m-2"
"924_e","Cladina mitis Biomass",NA,"g dry weight m-2"
"924_f","Cladonia uncialis Biomass",NA,"g dry weight m-2"
"924_g","Cladonia uncialis Biomass",NA,"g dry weight m-2"
"924_h","Cladonia spp Biomass",NA,"g dry weight m-2"
"924_i","Cladonia spp Biomass",NA,"g dry weight m-2"
"924_j","Stereocaulon spp Biomass",NA,"g dry weight m-2"
"924_k","Stereocaulon spp Biomass",NA,"g dry weight m-2"
"924_l","Cetralia nivalis Biomass",NA,"g dry weight m-2"
"924_m","Cetralia nivalis Biomass",NA,"g dry weight m-2"
"924_n","other lichens Biomass",NA,"g dry weight m-2"
"924_o","other lichens Biomass",NA,"g dry weight m-2"
"924_p","bryophytes Biomass",NA,"g dry weight m-2"
"924_q","bryophytes Biomass",NA,"g dry weight m-2"
"929_a","Abundance of bryophytes (grazing vs exclosure)","one hit per pin (100 pins, 0.25 m2 plot) --> measure of cover","Number of pin hits in point-intercept method"
"929_b","Abundance of Sphagnum (grazing vs exclosure)","one hit per pin (100 pins, 0.25 m2 plot) --> measure of cover","Number of pin hits in point-intercept method"
"929_c","Abundance of Bryidae (grazing vs exclosure)","one hit per pin (100 pins, 0.25 m2 plot) --> measure of cover","Number of pin hits in point-intercept method"
"929_d","Abundance of hepatics","one hit per pin (100 pins, 0.25 m2 plot) --> measure of cover","Number of pin hits in point-intercept method"
"929_e","Abundance of Salix spp.","multiple hits per pin (100 pins, 0.25 m2 plot) --> measure of abundance","Number of pin hits in point-intercept method"
"929_f","Abundance of Betula nana","multiple hits per pin (100 pins, 0.25 m2 plot) --> measure of abundance","Number of pin hits in point-intercept method"
"929_g","Abundance of forbs","one hit per pin (100 pins, 0.25 m2 plot) --> measure of cover","Number of pin hits in point-intercept method"
"929_h","Abundance of Carex spp.","one hit per pin (100 pins, 0.25 m2 plot) --> measure of cover","Number of pin hits in point-intercept method"
"929_i","Abundance of Eriophorum spp.","one hit per pin (100 pins, 0.25 m2 plot) --> measure of cover","Number of pin hits in point-intercept method"
"929_j","NDVI",NA,"unitless"
"929_k","LAI",NA,"unitless"
"929_l","Salix lapponum height",NA,"cm"
"929_m","Salix lapponum leaf area",NA,"mm2"
"929_n","Salix lapponum leaf nitrogen",NA,"% of dry mass"
"929_o","Salix lapponum flowering females",NA,"number"
"929_p","Salix lapponum catkins",NA,"number"
"938_a","plant height","Festuca rubra","mm"
"938_b","plant height","Festuca rubra","mm"
"938_c","standing crop","Festuca rubra","g/100 cm2"
"938_d","standing crop","Festuca rubra","g/100 cm2"
"938_e","net aboveground plant productivity (NAPP)","Festuca rubra","g/100cm2/day"
"959_a","Plants damaged by vertebrate herbivores",NA,"%"
"959_b","Plants damaged by invertebrate herbivores",NA,"%"
"959_c","Damage intensity (vertebrate herbivory)",NA,"% of damaged shoots or leaves/plant"
"959_d","Damage intensity (invertebrate herbivory)",NA,"% of damaged shoots or leaves/plant"
"959_e","Mean shoot length",NA,"mm"
"959_f","Female individuals of Salix arctica",NA,"%"
"959_g","Male individuals of Salix arctica",NA,"%"
"959_h","Vegetative individuals of Salix arctica",NA,"%"
"964_a","Aboveground dry biomass of all graminoids",NA,"g m-2"
"964_b","Aboveground dry biomass of Eriophorum scheuchzeri",NA,"g m-2"
"964_c","Aboveground dry biomass of Dupontia fisheri",NA,"g m-2"
"964_d","Net aboveground primary production of all graminoids",NA,"g m-2"
"964_e","Net aboveground primary production of Eriophorum scheuchzeri",NA,"g m-2"
"964_f","Net aboveground primary production of Dupontia fisheri",NA,"g m-2"
"964_g","Net aboveground primary production increment in 2 weeks of Dupontia fisheri",NA,"g m-2/2-week"
"964_h","Nitrogen content of Eriophorum scheuchzeri",NA,"%"
"964_i","Nitrogen content of Dupontia fisheri",NA,"%"
"974_a","Soil microbial C",NA,"mg/g dw soil"
"974_b","Dissolved Organic Carbon",NA,"ug/g dw soil"
"980_a","shoot density",NA,"shoots/m2"
"980_b","shoot density",NA,"shoots/m2"
"1046_a","soil moisture",NA,"g water / g dry soil"
"1046_b","soil moisture",NA,"g water / g dry soil"
"1046_c","soil moisture",NA,"g water / g dry soil"
"1046_d","bulk density",NA,"g dry soil / cm3"
"1046_e","bulk density",NA,"g dry soil / cm3"
"1046_f","bulk density",NA,"g dry soil / cm3"
"1046_g","soil salinity",NA,"log 10(salinity in g solute/ l)"
"1046_h","soil salinity",NA,"log 10(salinity in g solute/ l)"
"1046_i","soil salinity",NA,"log 10(salinity in g solute/ l)"
"1046_j","Aboveground biomass","Puccinellia phryganodes","g/m2"
"1046_k","Aboveground biomass","Puccinellia phryganodes","g/m2"
"1046_l","Aboveground biomass","Puccinellia phryganodes","g/m2"
"1074_d","Total concentration of sugars (sucrose, maltose, lactose, fructose and glucose) in the leaves",NA,"mg g-1 dry weight"
"1074_e","Total concentration of sugars (sucrose, fructose and glucose) in the roots",NA,"mg g-1 dry weight"
"1074_l","Sucrose concentration in sap",NA,"mg ml-1"
"1074_s","Mean height gain in trees",NA,"cm"
"1097_a","Cumulative net ecosystem exchange (NEE)","negative values indicates greater C uptake in treatment (no grazing) compared to control (trypical grazing)","g C m-2"
"1103_d","Woody plants","pin intercepts recorded one hit per pin, but species were summed across functional groups, so this represents abundance","number of contacts"
"1103_e","Woody plants","pin intercepts recorded one hit per pin, but species were summed across functional groups, so this represents abundance","number of contacts"
"1103_f","Herbs","pin intercepts recorded one hit per pin, but species were summed across functional groups, so this represents abundance","number of contacts"
"1103_g","Herbs","pin intercepts recorded one hit per pin, but species were summed across functional groups, so this represents abundance","number of contacts"
"1103_h","Graminoids","pin intercepts recorded one hit per pin, but species were summed across functional groups, so this represents abundance","number of contacts"
"1103_i","Graminoids","pin intercepts recorded one hit per pin, but species were summed across functional groups, so this represents abundance","number of contacts"
"1103_j","Gnaphalium norvegicum","in snow-bed habitat","number of contacts (out of 250)"
"1103_k","Polygonum viviparum","in snow-bed habitat","number of contacts (out of 250)"
"1103_l","Ranunculus spp (R. acris and R. nivalis)","in snow-bed habitat","number of contacts (out of 250)"
"1103_m","Solidago virgaurea","in snow-bed habitat","number of contacts (out of 250)"
"1103_n","Trollius europaeus","in snow-bed habitat","number of contacts (out of 250)"
"1103_o","Viola biflora","in snow-bed habitat","number of contacts (out of 250)"
"1103_p","floral shoots of herbs","on the snow-bed habitat","Number of floral shoots per m2"
"1103_q","floral shoots of graminoids","on the snow-bed habitat","Number of floral shoots per m2"
"1103_r","Floral shoots of Trollius europaeus","tall herb meadow; sampled over an area 192 m2","Number of floral shoots"
"1103_s","Floral shoots of cicerbita alpina","tall herb meadow; sampled over an area 192 m2","Number of floral shoots"
"1103_t","Floral shoots of Trolliu europaeus","snow-bed; sampled over an area 192 m2","Number of floral shoots"
"1103_u","Floral shoots of Gnaphalium norvegicum","snow-bed; sampled over an area 192 m2","Number of floral shoots"
"1103_x","Survival of adult shoots of Alchemilla vulgaris","Tall herb meadow. Survival of adult shoots transplanted","% alive shoots"
"1103_y","Survival of adult shoots of Alchemilla vulgaris","Snow-bed. Survival of adult shoots transplanted","% alive shoots"
"1103_z","Survival of adult shoots of angelica archangelica","tall herb meadow. Survival of adult shoots transplanted","% alive shoots"
"1103_aa","Survival of adult shoots of angelica archangelica","snow bed. Survival of adult shoots transplanted","% alive shoots"
"1103_ab","Survival of adult shoots of Epilobium angustifolium","tall herb meadow. Survival of adult shoots transplanted","% alive shoots"
"1103_ac","Survival of adult shoots of Epilobium angustifolium","snow-bed. Survival of adult shoots transplanted","% alive shoots"
"1103_ad","Survival of adult shoots of Geranium sylvaticum","tall herb meadow. Survival of adult shoots transplanted","% alive shoots"
"1103_ae","Survival of adult shoots of Geranium sylvaticum","snow bed. Survival of adult shoots transplanted","% alive shoots"
"1103_af","Survival of adult shoots of Cicerbita alpina","tall herb meadow. Survival of adult shoots transplanted","% alive shoots"
"1103_ag","Survival of adult shoots of Cicerbita alpina","snow bed. Survival of adult shoots transplanted","% alive shoots"
"1103_ah","Survival of adult shoots of Veratrum album","tall herb meadow. Survival of adult shoots transplanted","% alive shoots"
"1103_ai","Survival of adult shoots of Veratrum album","snow bed. Survival of adult shoots transplanted","% alive shoots"
"1103_aj","Survival of adult shoots of Betula pubescens ssp tortuosa","tall herb meadow. Survival of adult shoots transplanted","% alive shoots"
"1103_ak","Survival of adult shoots of Betula pubescens ssp tortuosa","snow bed. Survival of adult shoots transplanted","% alive shoots"
"1103_al","Survival of adult shoots of Salix glauca","tall herb meadow. Survival of adult shoots transplanted","% alive shoots"
"1103_am","Survival of adult shoots of Salix glauca","snow bed. Survival of adult shoots transplanted","% alive shoots"
"1103_an","Survival of adult shoots of Sorbus aucuparia","tall herb meadow. Survival of adult shoots transplanted","% alive shoots"
"1103_ao","Survival of adult shoots of Sorbus aucuparia","snow bed. Survival of adult shoots transplanted","% alive shoots"
